,Original ID,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,states
0,191,Kentucky Wildcats,"Lexington, Kentucky",1903,2020,117,3034,2320,713,0.765,17.67,6.71,52,55,33,59,17,8,Kentucky
1,279,North Carolina Tar Heels,"Chapel Hill, North Carolina",1911,2020,110,3093,2275,818,0.736,15.76,6.91,51,39,26,50,20,6,North Carolina
2,424,UCLA Bruins,"Los Angeles, California",1920,2020,101,2777,1909,868,0.687,15.48,6.91,41,31,4,49,18,11,California
3,186,Kansas Jayhawks,"Lawrence, Kansas",1899,2020,122,3164,2302,862,0.728,15.74,7.14,44,61,15,48,15,3,Kansas
4,112,Duke Blue Devils,"Durham, North Carolina",1906,2020,115,3094,2201,893,0.711,16.24,6.67,48,22,26,43,16,5,North Carolina
5,209,Louisville Cardinals,"Louisville, Kentucky",1912,2020,106,2805,1869,936,0.666,13.52,6.49,34,23,17,43,10,3,Kentucky
6,394,Syracuse Orange,"Syracuse, New York",1899,2020,120,2949,2026,922,0.687,9.66,3.91,30,10,5,40,6,1,New York
7,174,Indiana Hoosiers,"Bloomington, Indiana",1901,2020,120,2918,1853,1065,0.635,13.91,8.1,28,22,0,39,8,5,Indiana
8,434,Villanova Wildcats,"Villanova, Pennsylvania",1921,2020,100,2745,1803,942,0.657,10.25,5.68,23,12,7,39,6,3,Pennsylvania
9,298,Notre Dame Fighting Irish,"Notre Dame, Indiana",1897,2020,116,2944,1902,1041,0.646,10.07,5.72,25,1,1,36,1,0,Indiana
10,15,Arizona Wildcats,"Tucson, Arizona",1905,2020,113,2754,1808,945,0.657,8.92,5.03,27,24,7,35,4,1,Arizona
11,403,Texas Longhorns,"Austin, Texas",1906,2020,114,2906,1808,1098,0.622,6.25,3.65,11,25,2,34,3,0,Texas
12,77,Cincinnati Bearcats,"Cincinnati, Ohio",1902,2020,119,2861,1835,1026,0.641,11.68,5.02,25,24,12,33,6,2,Ohio
